,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard
Kendrick R.,85.0,48.0,0.0,25.0,74.0,1.0,4.0,20.0
Kern R.,3.0,1.0,0.0,0.0,392.0,0.0,0.0,0.0
Khachanov K.,444.0,101.0,9.0,255.0,8.0,66.0,22.0,167.0
Khaddari H.,1.0,1.0,0.0,0.0,513.0,0.0,0.0,0.0
Khalfan S.,1.0,1.0,0.0,0.0,1116.0,0.0,0.0,0.0
Kicker N.,45.0,31.0,0.0,18.0,86.0,14.0,0.0,4.0
Kiefer N.,131.0,57.0,3.0,80.0,11.0,18.0,8.0,54.0
Kim K,1.0,1.0,0.0,0.0,181.0,0.0,0.0,0.0
Kim K.,83.0,49.0,0.0,21.0,70.0,1.0,1.0,19.0
Kimmich M.,1.0,1.0,0.0,0.0,313.0,0.0,0.0,0.0
Kindlmann D.,10.0,8.0,0.0,1.0,162.0,1.0,0.0,0.0
King D.,12.0,8.0,0.0,3.0,168.0,0.0,0.0,3.0
King E.,4.0,4.0,0.0,1.0,347.0,0.0,0.0,1.0
King K.,7.0,6.0,0.0,1.0,304.0,0.0,0.0,1.0
King P.,4.0,4.0,0.0,1.0,360.0,0.0,0.0,1.0
King-Turner D.,5.0,2.0,0.0,0.0,263.0,0.0,0.0,0.0
Kirchheimer S.,2.0,1.0,0.0,0.0,416.0,0.0,0.0,0.0
Kirillov E.,2.0,2.0,0.0,0.0,378.0,0.0,0.0,0.0
Kirkin E.,2.0,1.0,0.0,0.0,446.0,0.0,0.0,0.0
Klaasen R.,8.0,4.0,0.0,4.0,307.0,0.0,2.0,2.0
Klahn B.,56.0,39.0,0.0,13.0,63.0,0.0,2.0,11.0
Klec I.,6.0,5.0,0.0,1.0,224.0,0.0,0.0,1.0
Klein B.,13.0,10.0,0.0,3.0,177.0,0.0,1.0,2.0
Klein L.,24.0,16.0,0.0,10.0,118.0,3.0,1.0,6.0
Klizan M.,252.0,102.0,7.0,121.0,28.0,63.0,4.0,54.0
Kloer S.,1.0,1.0,0.0,0.0,495.0,0.0,0.0,0.0
Knittel B.,5.0,4.0,0.0,1.0,187.0,1.0,0.0,0.0
Koellerer D.,45.0,28.0,0.0,17.0,36.0,10.0,0.0,7.0
Koellerer D. ,1.0,1.0,0.0,0.0,74.0,0.0,0.0,0.0
Koepfer D.,120.0,54.0,0.0,52.0,49.0,17.0,4.0,31.0
Kohlmann M.,1.0,1.0,0.0,0.0,1494.0,0.0,0.0,0.0
Kohlschreiber P.,727.0,128.0,17.0,410.0,18.0,152.0,53.0,205.0
Kohlschreiber P. ,1.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0
Kohlschreiber P..,1.0,1.0,0.0,1.0,24.0,0.0,0.0,1.0
Kokkinakis T.,147.0,62.0,2.0,67.0,65.0,8.0,5.0,54.0
Kolar Z.,4.0,4.0,0.0,1.0,134.0,1.0,0.0,0.0
Kondo H.,1.0,1.0,0.0,0.0,589.0,0.0,0.0,0.0
Koning M.,1.0,1.0,0.0,0.0,793.0,0.0,0.0,0.0
Kontinen H.,3.0,2.0,0.0,1.0,253.0,0.0,1.0,0.0
Kopriva V.,16.0,11.0,0.0,5.0,112.0,4.0,0.0,1.0
Korda S.,191.0,73.0,8.0,116.0,18.0,23.0,16.0,77.0
Korolev E.,146.0,77.0,1.0,61.0,50.0,20.0,2.0,39.0
Korolev E. ,3.0,2.0,0.0,2.0,58.0,0.0,0.0,2.0
Korteling S.,1.0,1.0,0.0,0.0,463.0,0.0,0.0,0.0
Kosakowski D.,3.0,3.0,0.0,1.0,482.0,0.0,0.0,1.0
Kotov P.,78.0,42.0,1.0,35.0,53.0,17.0,2.0,16.0
Koubek S.,114.0,57.0,2.0,51.0,47.0,11.0,1.0,39.0
Kovacevic A.,48.0,31.0,0.0,16.0,76.0,1.0,2.0,13.0
Kovalik J.,72.0,45.0,0.0,26.0,102.0,17.0,0.0,9.0
Kozlov S.,34.0,22.0,0.0,9.0,104.0,0.0,5.0,4.0
Krajan Z.,1.0,1.0,0.0,0.0,681.0,0.0,0.0,0.0
Krajicek A.,35.0,25.0,0.0,11.0,103.0,0.0,1.0,10.0
Krajinovic F.,230.0,84.0,5.0,110.0,26.0,33.0,5.0,72.0
Kratochvil M.,1.0,1.0,0.0,0.0,1511.0,0.0,0.0,0.0
Kravchuk K.,32.0,25.0,0.0,7.0,79.0,2.0,1.0,4.0
Krawietz K.,4.0,4.0,0.0,1.0,277.0,0.0,1.0,0.0
Krstin P.,5.0,4.0,0.0,1.0,195.0,1.0,0.0,0.0
Krueger M.,30.0,15.0,0.0,8.0,140.0,0.0,1.0,7.0
Krutykh O.,3.0,3.0,0.0,0.0,188.0,0.0,0.0,0.0
Kubler J.,52.0,29.0,0.0,22.0,66.0,7.0,7.0,8.0
Kubot L.,194.0,91.0,2.0,77.0,41.0,33.0,12.0,32.0
Kucera K.,4.0,3.0,0.0,2.0,141.0,0.0,1.0,1.0
Kudla D.,201.0,77.0,0.0,70.0,56.0,6.0,26.0,38.0
Kudryavtsev A.,19.0,14.0,0.0,5.0,60.0,0.0,0.0,5.0
Kuerten G.,16.0,12.0,0.0,2.0,287.0,1.0,0.0,1.0
Kuhn N.,10.0,9.0,0.0,2.0,211.0,1.0,0.0,1.0
Kukushkin M.,336.0,122.0,4.0,137.0,40.0,25.0,14.0,98.0
Kumantsov A.,1.0,1.0,0.0,0.0,365.0,0.0,0.0,0.0
Kumar O.,5.0,2.0,0.0,2.0,385.0,0.0,0.0,2.0
Kunitsyn I.,216.0,94.0,1.0,77.0,36.0,8.0,10.0,59.0
Kunitsyn I. ,1.0,1.0,0.0,0.0,81.0,0.0,0.0,0.0
Kutac R.,1.0,1.0,0.0,0.0,638.0,0.0,0.0,0.0
Kutrovsky D.,3.0,2.0,0.0,2.0,438.0,0.0,0.0,2.0
Kuzmanov D.,11.0,6.0,0.0,2.0,189.0,1.0,0.0,1.0
Kuznetsov A.,23.0,17.0,0.0,5.0,162.0,1.0,1.0,3.0
Kuznetsov Al.,21.0,14.0,0.0,5.0,127.0,1.0,1.0,3.0
Kuznetsov An.,154.0,75.0,0.0,63.0,40.0,27.0,6.0,30.0
Kwiatkowski T.S.,7.0,6.0,0.0,0.0,206.0,0.0,0.0,0.0
Kwon S.W.,116.0,57.0,2.0,55.0,53.0,7.0,3.0,45.0
Kym J.,1.0,1.0,0.0,0.0,140.0,0.0,0.0,0.0
Kypson P.,9.0,7.0,0.0,3.0,17.0,0.0,0.0,3.0
Kyrgios N.,279.0,72.0,11.0,186.0,13.0,25.0,32.0,129.0
Laaksonen H.,96.0,48.0,0.0,34.0,84.0,18.0,0.0,16.0
Labadze I.,6.0,5.0,0.0,3.0,150.0,1.0,2.0,0.0
Lacko L.,210.0,85.0,2.0,79.0,44.0,2.0,19.0,58.0
Lajal M.,3.0,3.0,0.0,1.0,229.0,0.0,0.0,1.0
Lajola D.,1.0,1.0,0.0,0.0,719.0,0.0,0.0,0.0
Lajovic D.,405.0,130.0,3.0,177.0,23.0,105.0,5.0,67.0
Lalami Laaroussi Y.,1.0,1.0,0.0,0.0,937.0,0.0,0.0,0.0
Lama G.,4.0,4.0,0.0,0.0,289.0,0.0,0.0,0.0
Lamasine T.,9.0,9.0,0.0,3.0,182.0,2.0,0.0,1.0
Lammer M.,17.0,11.0,0.0,4.0,209.0,1.0,0.0,3.0
Lammer M. ,2.0,2.0,0.0,1.0,167.0,0.0,0.0,1.0
Landaluce M.,6.0,6.0,0.0,1.0,322.0,0.0,0.0,1.0
Langer N.,3.0,2.0,0.0,1.0,340.0,1.0,0.0,0.0
Lapentti G.,16.0,12.0,0.0,4.0,114.0,1.0,0.0,3.0
Lapentti N.,113.0,67.0,1.0,46.0,58.0,31.0,1.0,14.0
Lazarov A.,5.0,3.0,0.0,1.0,334.0,0.0,0.0,1.0
Lazov A.,1.0,1.0,0.0,0.0,438.0,0.0,0.0,0.0
Ledovskikh M.,14.0,13.0,0.0,2.0,276.0,0.0,1.0,1.0
Lee D.H.,2.0,2.0,0.0,1.0,212.0,0.0,0.0,1.0
Lee H.T.,104.0,56.0,0.0,47.0,36.0,6.0,7.0,34.0
Lee M.,3.0,3.0,0.0,1.0,252.0,0.0,1.0,0.0
Lehecka J.,115.0,63.0,3.0,63.0,23.0,13.0,5.0,45.0
Lejnieks K.,2.0,2.0,0.0,1.0,664.0,0.0,0.0,1.0
Lemke J.,1.0,1.0,0.0,0.0,456.0,0.0,0.0,0.0
Lenz J.,2.0,2.0,0.0,0.0,270.0,0.0,0.0,0.0
Leshem E.,3.0,2.0,0.0,1.0,278.0,0.0,0.0,1.0
Lestienne C.,52.0,34.0,0.0,16.0,48.0,0.0,1.0,15.0
Levine I.,1.0,1.0,0.0,0.0,426.0,0.0,0.0,0.0
Levine J.,91.0,47.0,0.0,28.0,76.0,1.0,9.0,18.0
Levy H.,10.0,9.0,0.0,1.0,160.0,0.0,0.0,1.0
Li Z.,10.0,7.0,0.0,0.0,234.0,0.0,0.0,0.0
Li Zh.,1.0,1.0,0.0,0.0,602.0,0.0,0.0,0.0
Lindahl N.,9.0,8.0,0.0,1.0,243.0,0.0,0.0,1.0
Lindell C.,10.0,4.0,0.0,2.0,177.0,2.0,0.0,0.0
Linzer M.,2.0,2.0,0.0,0.0,354.0,0.0,0.0,0.0
Lipsky S.,1.0,1.0,0.0,0.0,1004.0,0.0,0.0,0.0
Lisnard J.,2.0,2.0,0.0,0.0,134.0,0.0,0.0,0.0
Lisnard J.R.,21.0,12.0,0.0,6.0,109.0,2.0,0.0,4.0
Ljubicic I.,352.0,87.0,18.0,223.0,3.0,49.0,18.0,156.0
Ljubicic I. ,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0
Llamas Ruiz P.,8.0,5.0,0.0,4.0,152.0,3.0,0.0,1.0
Llodra M.,249.0,82.0,7.0,124.0,21.0,15.0,23.0,86.0
Lock B.,1.0,1.0,0.0,0.0,346.0,0.0,0.0,0.0
Loffhagen G.,2.0,2.0,0.0,0.0,371.0,0.0,0.0,0.0
Lojda D.,1.0,1.0,0.0,0.0,169.0,0.0,0.0,0.0
Lokoli L.,8.0,8.0,0.0,0.0,173.0,0.0,0.0,0.0
Londero J.I.,82.0,42.0,2.0,34.0,50.0,29.0,1.0,4.0
Lopez F.,738.0,167.0,15.0,369.0,12.0,90.0,69.0,210.0
Lopez F. ,2.0,1.0,0.0,1.0,46.0,0.0,0.0,1.0
Lopez M.,6.0,6.0,0.0,0.0,172.0,0.0,0.0,0.0
Lopez San Martin A.,1.0,1.0,0.0,0.0,550.0,0.0,0.0,0.0
Lopez Villasenor G.,4.0,2.0,0.0,0.0,518.0,0.0,0.0,0.0
Lopez-Jaen M.A.,3.0,3.0,0.0,1.0,264.0,1.0,0.0,0.0
Lopez-Perez E.,1.0,1.0,0.0,0.0,196.0,0.0,0.0,0.0
Lorenzi P.,278.0,120.0,4.0,101.0,33.0,56.0,5.0,40.0
Lu Y.,9.0,9.0,0.0,1.0,139.0,0.0,0.0,1.0
Lu Y.H.,309.0,98.0,1.0,131.0,33.0,4.0,22.0,105.0
Luczak P.,82.0,49.0,0.0,24.0,70.0,9.0,3.0,12.0
Luczak P. ,1.0,1.0,0.0,0.0,80.0,0.0,0.0,0.0
Luncanu P.A.,2.0,2.0,0.0,0.0,322.0,0.0,0.0,0.0
Luque D.,1.0,1.0,0.0,0.0,596.0,0.0,0.0,0.0
Luz O.,1.0,1.0,0.0,0.0,544.0,0.0,0.0,0.0
Luzzi F.,8.0,7.0,0.0,1.0,111.0,0.0,0.0,1.0
Maamoun K.,1.0,1.0,0.0,0.0,291.0,0.0,0.0,0.0
Machac T.,71.0,39.0,1.0,39.0,25.0,10.0,1.0,28.0
Machado R.,48.0,27.0,0.0,12.0,68.0,11.0,0.0,1.0
Mackin A.,5.0,5.0,0.0,0.0,233.0,0.0,0.0,0.0
Madaras D.,2.0,2.0,0.0,0.0,191.0,0.0,0.0,0.0
Maden Y.,26.0,15.0,0.0,9.0,109.0,4.0,0.0,5.0
Maestrelli F.,1.0,1.0,0.0,0.0,186.0,0.0,0.0,0.0
Mager G.,58.0,42.0,1.0,24.0,62.0,13.0,1.0,10.0
Mahut N.,359.0,99.0,6.0,168.0,37.0,16.0,64.0,88.0
Majchrzak K.,47.0,28.0,0.0,18.0,75.0,4.0,1.0,13.0
Malisse X.,264.0,94.0,5.0,136.0,31.0,11.0,30.0,95.0
Mamiit C.,3.0,2.0,0.0,1.0,236.0,0.0,0.0,1.0
Mannarino A.,615.0,149.0,15.0,283.0,19.0,21.0,66.0,196.0
Mansouri S.,1.0,1.0,0.0,0.0,296.0,0.0,0.0,0.0
Mantilla F.,8.0,7.0,0.0,2.0,88.0,2.0,0.0,0.0
Marach O.,40.0,26.0,0.0,14.0,88.0,11.0,0.0,3.0
Marcaccio G.,4.0,3.0,0.0,2.0,406.0,2.0,0.0,0.0
Marcan D.,2.0,2.0,0.0,0.0,354.0,0.0,0.0,0.0
Marchenko I.,125.0,68.0,0.0,44.0,50.0,3.0,5.0,36.0
Marcora R.,7.0,4.0,0.0,3.0,837.0,0.0,0.0,3.0
Marin J.A.,18.0,17.0,0.0,5.0,97.0,5.0,0.0,0.0
Marozsan F.,65.0,40.0,0.0,32.0,37.0,8.0,1.0,23.0
Marrai M.,1.0,1.0,0.0,0.0,414.0,0.0,0.0,0.0
Marray J.,2.0,2.0,0.0,0.0,263.0,0.0,0.0,0.0
Marrero D.,9.0,7.0,0.0,3.0,203.0,3.0,0.0,0.0
Marterer M.,112.0,58.0,0.0,36.0,45.0,16.0,4.0,16.0
Marti J.,13.0,10.0,0.0,2.0,170.0,1.0,1.0,0.0
Marti Y.,7.0,5.0,0.0,2.0,232.0,2.0,0.0,0.0
Martin A.,167.0,89.0,2.0,63.0,48.0,53.0,2.0,8.0
Martin A. ,1.0,1.0,0.0,0.0,119.0,0.0,0.0,0.0
Martin F.,1.0,1.0,0.0,0.0,350.0,0.0,0.0,0.0
Martineau M.,2.0,2.0,0.0,0.0,179.0,0.0,0.0,0.0
Martinez P.,152.0,78.0,3.0,65.0,39.0,42.0,2.0,21.0
Massa E.,11.0,8.0,0.0,5.0,240.0,3.0,0.0,2.0
Massu N.,166.0,78.0,5.0,74.0,30.0,54.0,0.0,20.0
Masur D.,6.0,5.0,0.0,1.0,209.0,1.0,0.0,0.0
Mathieu P.,1.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0
Mathieu P.H.,404.0,127.0,7.0,197.0,14.0,74.0,18.0,105.0
Mathieu P.H. ,1.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0
Matosevic M.,147.0,69.0,1.0,58.0,48.0,7.0,7.0,44.0
Matsui T.,3.0,3.0,0.0,1.0,443.0,0.0,0.0,1.0
Matsukevitch D.,4.0,4.0,0.0,1.0,385.0,0.0,0.0,1.0
Mayer F.,393.0,116.0,7.0,188.0,18.0,67.0,30.0,91.0
Mayer L.,346.0,136.0,5.0,162.0,18.0,87.0,16.0,59.0
Mayer L. ,2.0,2.0,0.0,1.0,64.0,0.0,0.0,1.0
Mayot H.,19.0,15.0,0.0,7.0,116.0,1.0,1.0,5.0
Mazarakis V.,2.0,2.0,0.0,0.0,126.0,0.0,0.0,0.0
McClune M.,1.0,1.0,0.0,0.0,614.0,0.0,0.0,0.0
Mccabe J.,4.0,4.0,0.0,0.0,342.0,0.0,0.0,0.0
Mcclune M.,2.0,2.0,0.0,1.0,416.0,0.0,0.0,1.0
Mcdonald M.,220.0,101.0,1.0,98.0,37.0,8.0,17.0,73.0
Mcgee J.,3.0,3.0,0.0,0.0,194.0,0.0,0.0,0.0
Mecir M.,4.0,3.0,0.0,1.0,187.0,0.0,0.0,1.0
Medjedovic H.,32.0,19.0,1.0,14.0,107.0,7.0,1.0,6.0
Medvedev D.,481.0,100.0,37.0,342.0,1.0,36.0,44.0,262.0
Medvedev D. ,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
Meffert D.,12.0,9.0,0.0,4.0,162.0,1.0,1.0,2.0
Meister N.,1.0,1.0,0.0,0.0,625.0,0.0,0.0,0.0
Mejia N.,2.0,2.0,0.0,0.0,236.0,0.0,0.0,0.0
Mektic N.,8.0,6.0,0.0,1.0,312.0,1.0,0.0,0.0
Meligeni Alves F.,9.0,8.0,0.0,3.0,144.0,1.0,0.0,2.0
Meligeni Rodrigues F,2.0,2.0,0.0,0.0,224.0,0.0,0.0,0.0
Mello R.,82.0,45.0,0.0,26.0,50.0,12.0,1.0,13.0
Melzer G.,44.0,24.0,0.0,15.0,68.0,14.0,0.0,1.0
Melzer J.,470.0,132.0,10.0,241.0,8.0,87.0,27.0,127.0
Mena F.,1.0,1.0,0.0,0.0,151.0,0.0,0.0,0.0
Menendez-Maceiras A.,24.0,16.0,0.0,6.0,114.0,2.0,1.0,3.0
Menezes J.,1.0,1.0,0.0,0.0,199.0,0.0,0.0,0.0
Mensik J.,38.0,21.0,1.0,24.0,51.0,5.0,2.0,17.0
Mergea F.,2.0,2.0,0.0,1.0,277.0,0.0,1.0,0.0
Mertens Y.,3.0,3.0,0.0,1.0,208.0,0.0,0.0,1.0
Mertinak M.,6.0,5.0,0.0,2.0,135.0,0.0,2.0,0.0
Mertl J.,2.0,2.0,0.0,1.0,306.0,1.0,0.0,0.0
Mesaros K.,1.0,1.0,0.0,0.0,295.0,0.0,0.0,0.0
Michelsen A.,71.0,45.0,3.0,37.0,43.0,3.0,9.0,25.0
Michon A.,2.0,2.0,0.0,1.0,206.0,1.0,0.0,0.0
Middelkoop M.,1.0,1.0,0.0,0.0,210.0,0.0,0.0,0.0
