Unnamed: 0,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard,cluster,cluster_description
Tseng C.H.,11.0,9.0,0.0,2.0,85.0,0.0,0.0,2.0,1,Developing Players
Tsitsipas P.,1.0,1.0,0.0,0.0,970.0,0.0,0.0,0.0,1,Developing Players
Tsitsipas S.,456.0,92.0,28.0,303.0,3.0,106.0,22.0,175.0,4,Developing Players
Tsitsipas S. ,5.0,2.0,1.0,4.0,6.0,0.0,0.0,4.0,1,Developing Players
Tsonga J.W.,636.0,103.0,30.0,426.0,5.0,76.0,46.0,304.0,3,Top Players
Tu L.,7.0,5.0,0.0,1.0,191.0,0.0,1.0,0.0,1,Developing Players
Tuksar S.,3.0,3.0,0.0,0.0,166.0,0.0,0.0,0.0,1,Developing Players
Tursunov D.,365.0,124.0,9.0,190.0,20.0,23.0,31.0,136.0,1,Developing Players
Tveit E.,1.0,1.0,0.0,0.0,925.0,0.0,0.0,0.0,1,Developing Players
Tyurnev E.,1.0,1.0,0.0,0.0,548.0,0.0,0.0,0.0,1,Developing Players
Uchida K.,4.0,4.0,0.0,1.0,163.0,0.0,0.0,1.0,1,Developing Players
Uchiyama Y.,36.0,23.0,0.0,11.0,86.0,0.0,0.0,11.0,1,Developing Players
Udomchoke D.,56.0,31.0,0.0,13.0,79.0,0.0,4.0,9.0,1,Developing Players
Ugo Carabelli C.,13.0,11.0,0.0,4.0,92.0,4.0,0.0,0.0,1,Developing Players
Ulihrach B.,4.0,3.0,0.0,1.0,199.0,1.0,0.0,0.0,1,Developing Players
Ungur A.,32.0,23.0,0.0,6.0,79.0,6.0,0.0,0.0,1,Developing Players
Vacek J.,6.0,5.0,0.0,3.0,245.0,0.0,3.0,0.0,1,Developing Players
Vacherot V.,4.0,3.0,0.0,0.0,138.0,0.0,0.0,0.0,1,Developing Players
Vagnozzi S.,8.0,7.0,0.0,2.0,186.0,2.0,0.0,0.0,1,Developing Players
Vahaly B.,1.0,1.0,0.0,0.0,164.0,0.0,0.0,0.0,1,Developing Players
Vaisse M.,1.0,1.0,0.0,0.0,309.0,0.0,0.0,0.0,1,Developing Players
Valent R.,1.0,1.0,0.0,0.0,1088.0,0.0,0.0,0.0,1,Developing Players
Valkusz M.,4.0,3.0,0.0,1.0,214.0,0.0,0.0,1.0,1,Developing Players
Van Assche L.,50.0,35.0,0.0,16.0,64.0,8.0,1.0,7.0,1,Developing Players
Van D. Merwe I.,1.0,1.0,0.0,0.0,118.0,0.0,0.0,0.0,1,Developing Players
Van De Zandschulp B.,161.0,68.0,1.0,79.0,23.0,19.0,9.0,51.0,1,Developing Players
Van Der Merwe I.,10.0,5.0,0.0,6.0,129.0,0.0,2.0,4.0,1,Developing Players
Van Rijthoven T.,19.0,14.0,1.0,10.0,103.0,0.0,8.0,2.0,1,Developing Players
Van der Dium A.,1.0,1.0,0.0,0.0,995.0,0.0,0.0,0.0,1,Developing Players
Van der Merwe I.,3.0,2.0,0.0,1.0,285.0,0.0,0.0,1.0,1,Developing Players
Vanek J.,80.0,52.0,0.0,28.0,81.0,22.0,1.0,5.0,1,Developing Players
Vanni L.,21.0,16.0,1.0,5.0,100.0,4.0,0.0,1.0,1,Developing Players
Vardhan V.,1.0,1.0,0.0,0.0,313.0,0.0,0.0,0.0,1,Developing Players
Varillas J. P.,19.0,14.0,0.0,9.0,92.0,9.0,0.0,0.0,1,Developing Players
Varillas J.P.,39.0,23.0,0.0,16.0,63.0,12.0,0.0,4.0,1,Developing Players
Vasilevski A.,1.0,1.0,0.0,0.0,785.0,0.0,0.0,0.0,1,Developing Players
Vassallo-Arguello M.,101.0,52.0,0.0,39.0,49.0,33.0,2.0,4.0,1,Developing Players
Vassallo-Arguello M. ,1.0,1.0,0.0,0.0,72.0,0.0,0.0,0.0,1,Developing Players
Vatutin A.,9.0,7.0,0.0,2.0,138.0,2.0,0.0,0.0,1,Developing Players
Vavassori A.,19.0,14.0,0.0,8.0,128.0,6.0,0.0,2.0,1,Developing Players
Vega Hernandez D.,1.0,1.0,0.0,0.0,440.0,0.0,0.0,0.0,1,Developing Players
Veger F.,1.0,1.0,0.0,0.0,836.0,0.0,0.0,0.0,1,Developing Players
Veic A.,30.0,16.0,0.0,9.0,127.0,4.0,0.0,5.0,1,Developing Players
Velotti A.,3.0,3.0,0.0,0.0,676.0,0.0,0.0,0.0,1,Developing Players
Vemic D.,15.0,11.0,0.0,5.0,178.0,3.0,1.0,1.0,1,Developing Players
Ventura S.,60.0,35.0,0.0,21.0,68.0,21.0,0.0,0.0,1,Developing Players
Venus M.,9.0,6.0,0.0,1.0,40.0,0.0,0.0,1.0,1,Developing Players
Verdasco F.,856.0,199.0,21.0,478.0,7.0,198.0,44.0,236.0,-1,Outlier
Verdasco F. ,3.0,2.0,0.0,2.0,8.0,0.0,0.0,2.0,1,Developing Players
Verkerk M.,11.0,10.0,0.0,0.0,316.0,0.0,0.0,0.0,1,Developing Players
Vesely J.,277.0,112.0,4.0,130.0,36.0,51.0,23.0,56.0,1,Developing Players
Vicente F.,30.0,21.0,0.0,5.0,87.0,4.0,1.0,0.0,1,Developing Players
Vicente M.,1.0,1.0,0.0,0.0,188.0,0.0,0.0,0.0,1,Developing Players
Vico U.,3.0,2.0,0.0,1.0,251.0,0.0,0.0,1.0,1,Developing Players
Vik R.,51.0,41.0,0.0,17.0,57.0,6.0,1.0,10.0,1,Developing Players
Vilella Martinez M.,9.0,8.0,0.0,4.0,167.0,1.0,0.0,3.0,1,Developing Players
Villanueva G.,1.0,1.0,0.0,0.0,279.0,0.0,0.0,0.0,1,Developing Players
Vinciguerra A.,16.0,10.0,0.0,6.0,153.0,5.0,0.0,1.0,1,Developing Players
Viola M.,15.0,14.0,0.0,4.0,126.0,2.0,0.0,2.0,1,Developing Players
Viola Mat.,2.0,2.0,0.0,0.0,148.0,0.0,0.0,0.0,1,Developing Players
Virtanen O.,10.0,7.0,0.0,3.0,116.0,0.0,1.0,2.0,1,Developing Players
Vliegen K.,142.0,76.0,1.0,60.0,30.0,19.0,9.0,32.0,1,Developing Players
Volandri F.,244.0,96.0,5.0,96.0,25.0,88.0,1.0,7.0,1,Developing Players
Vovk S.,1.0,1.0,0.0,0.0,1216.0,0.0,0.0,0.0,1,Developing Players
Vrbensky M.,1.0,1.0,0.0,0.0,311.0,0.0,0.0,0.0,1,Developing Players
Vukic A.,93.0,55.0,1.0,41.0,50.0,4.0,10.0,27.0,1,Developing Players
Wachiramanowong K.,2.0,1.0,0.0,0.0,523.0,0.0,0.0,0.0,1,Developing Players
Walter L.,1.0,1.0,0.0,0.0,287.0,0.0,0.0,0.0,1,Developing Players
Walton A.,14.0,14.0,0.0,3.0,89.0,0.0,2.0,1.0,1,Developing Players
Wang C.,2.0,2.0,0.0,1.0,553.0,0.0,0.0,1.0,1,Developing Players
Wang J.,21.0,12.0,0.0,8.0,133.0,2.0,4.0,2.0,1,Developing Players
Wang Y.,2.0,2.0,0.0,0.0,87.0,0.0,0.0,0.0,1,Developing Players
Wang Y. Jr,1.0,1.0,0.0,0.0,401.0,0.0,0.0,0.0,1,Developing Players
Wang Y.Jr.,1.0,1.0,0.0,0.0,484.0,0.0,0.0,0.0,1,Developing Players
Wang Y.T.,27.0,19.0,0.0,8.0,87.0,0.0,3.0,5.0,1,Developing Players
Warburg S.,13.0,11.0,0.0,3.0,157.0,0.0,0.0,3.0,1,Developing Players
Ward A.,4.0,4.0,0.0,0.0,244.0,0.0,0.0,0.0,1,Developing Players
Ward J.,63.0,33.0,0.0,13.0,102.0,0.0,10.0,3.0,1,Developing Players
Washington M.,1.0,1.0,0.0,0.0,864.0,0.0,0.0,0.0,1,Developing Players
Waske A.,48.0,32.0,0.0,16.0,89.0,9.0,2.0,5.0,1,Developing Players
Watanuki Y.,31.0,20.0,0.0,13.0,79.0,3.0,2.0,8.0,1,Developing Players
Wawrinka S.,839.0,141.0,30.0,522.0,3.0,176.0,32.0,314.0,-1,Outlier
Wawrinka S. ,3.0,2.0,0.0,2.0,21.0,0.0,0.0,2.0,1,Developing Players
Weiner G.,2.0,2.0,0.0,0.0,205.0,0.0,0.0,0.0,1,Developing Players
Weintraub A.,5.0,5.0,0.0,1.0,196.0,0.0,0.0,1.0,1,Developing Players
Wessels L.,1.0,1.0,0.0,0.0,347.0,0.0,0.0,0.0,1,Developing Players
Wessels P.,14.0,9.0,1.0,7.0,103.0,0.0,4.0,3.0,1,Developing Players
Westerhof B.,1.0,1.0,0.0,0.0,236.0,0.0,0.0,0.0,1,Developing Players
Whitehouse W.,7.0,5.0,0.0,3.0,331.0,0.0,0.0,3.0,1,Developing Players
Whittington A.,5.0,5.0,0.0,2.0,190.0,0.0,0.0,2.0,1,Developing Players
Widom T.,7.0,6.0,0.0,4.0,232.0,0.0,0.0,4.0,1,Developing Players
Williams R.,23.0,19.0,0.0,5.0,114.0,2.0,0.0,3.0,1,Developing Players
Willis M.,2.0,2.0,0.0,1.0,772.0,0.0,1.0,0.0,1,Developing Players
Wilson B.,5.0,4.0,0.0,1.0,279.0,0.0,0.0,1.0,1,Developing Players
Witten J.,10.0,8.0,0.0,2.0,186.0,0.0,0.0,2.0,1,Developing Players
Wolf J.J.,97.0,53.0,1.0,45.0,39.0,7.0,3.0,35.0,1,Developing Players
Wolmarans F.,3.0,1.0,0.0,1.0,261.0,0.0,0.0,1.0,1,Developing Players
Wong C.,6.0,6.0,0.0,0.0,133.0,0.0,0.0,0.0,1,Developing Players
Wu D.,24.0,11.0,0.0,4.0,203.0,0.0,0.0,4.0,1,Developing Players
Wu T.L.,5.0,4.0,0.0,1.0,172.0,0.0,0.0,1.0,1,Developing Players
Wu Y.,40.0,28.0,1.0,18.0,54.0,3.0,1.0,14.0,1,Developing Players
Xu J.C.,1.0,1.0,0.0,0.0,594.0,0.0,0.0,0.0,1,Developing Players
Yang T.H.,4.0,4.0,0.0,0.0,341.0,0.0,0.0,0.0,1,Developing Players
Yani M.,15.0,13.0,0.0,3.0,151.0,0.0,2.0,1.0,1,Developing Players
Yevseyev D.,4.0,3.0,0.0,1.0,160.0,1.0,0.0,0.0,1,Developing Players
Ymer E.,86.0,47.0,0.0,25.0,108.0,11.0,0.0,14.0,1,Developing Players
Ymer M.,127.0,59.0,1.0,57.0,53.0,12.0,6.0,39.0,1,Developing Players
Young D.,293.0,84.0,2.0,114.0,40.0,7.0,13.0,94.0,1,Developing Players
Youzhny A.,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,1,Developing Players
Youzhny M.,602.0,125.0,15.0,332.0,8.0,84.0,39.0,209.0,1,Developing Players
Youzhny M. ,4.0,2.0,1.0,3.0,23.0,0.0,0.0,3.0,1,Developing Players
Yu X.Y.,1.0,1.0,0.0,0.0,515.0,0.0,0.0,0.0,1,Developing Players
Yuksel A.,1.0,1.0,0.0,0.0,507.0,0.0,0.0,0.0,1,Developing Players
Zabaleta M.,46.0,25.0,1.0,21.0,63.0,21.0,0.0,0.0,1,Developing Players
Zampieri C.,3.0,2.0,0.0,1.0,255.0,1.0,0.0,0.0,1,Developing Players
Zapata Miralles B.,90.0,57.0,0.0,31.0,37.0,25.0,0.0,6.0,1,Developing Players
Zayed M. S.,1.0,1.0,0.0,0.0,1855.0,0.0,0.0,0.0,1,Developing Players
Zayid M. S.,1.0,1.0,0.0,0.0,1512.0,0.0,0.0,0.0,1,Developing Players
Zayid M.S.,1.0,1.0,0.0,0.0,1277.0,0.0,0.0,0.0,1,Developing Players
Zeballos H.,208.0,86.0,2.0,84.0,40.0,52.0,2.0,30.0,1,Developing Players
Zeballos H. ,1.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,1,Developing Players
Zekic M.,3.0,3.0,0.0,1.0,316.0,1.0,0.0,0.0,1,Developing Players
Zemlja G.,58.0,34.0,1.0,26.0,49.0,6.0,6.0,14.0,1,Developing Players
Zeng S.X.,4.0,3.0,0.0,1.0,393.0,0.0,0.0,1.0,1,Developing Players
Zeppieri G.,19.0,12.0,0.0,6.0,120.0,5.0,0.0,1.0,1,Developing Players
Zhang Z.,15.0,7.0,0.0,4.0,165.0,0.0,1.0,3.0,1,Developing Players
Zhang Ze,11.0,6.0,0.0,1.0,179.0,0.0,0.0,1.0,1,Developing Players
Zhang Ze.,2.0,2.0,0.0,0.0,179.0,0.0,0.0,0.0,1,Developing Players
Zhang Zh.,100.0,59.0,1.0,48.0,33.0,18.0,6.0,24.0,1,Developing Players
Zhou Y.,5.0,4.0,0.0,0.0,440.0,0.0,0.0,0.0,1,Developing Players
Zhukayev B.,7.0,6.0,0.0,2.0,213.0,0.0,0.0,2.0,1,Developing Players
Ziadi M.,4.0,2.0,0.0,0.0,613.0,0.0,0.0,0.0,1,Developing Players
Zib T.,47.0,33.0,0.0,12.0,51.0,5.0,2.0,5.0,1,Developing Players
Zimonjic N.,2.0,2.0,0.0,0.0,674.0,0.0,0.0,0.0,1,Developing Players
Zitko R.,1.0,1.0,0.0,0.0,487.0,0.0,0.0,0.0,1,Developing Players
Zopp J.,43.0,23.0,0.0,14.0,80.0,9.0,0.0,5.0,1,Developing Players
Zovko L.,5.0,4.0,0.0,2.0,759.0,0.0,0.0,2.0,1,Developing Players
Zuk K.,3.0,3.0,0.0,0.0,170.0,0.0,0.0,0.0,1,Developing Players
Zverev A.,599.0,103.0,35.0,421.0,2.0,142.0,38.0,241.0,-1,Outlier
Zverev A. ,4.0,2.0,0.0,2.0,7.0,0.0,0.0,2.0,1,Developing Players
Zverev M.,316.0,116.0,3.0,130.0,26.0,25.0,28.0,77.0,1,Developing Players
de Chaunac S.,7.0,7.0,0.0,0.0,254.0,0.0,0.0,0.0,1,Developing Players
de Voest R.,18.0,17.0,0.0,5.0,124.0,0.0,1.0,4.0,1,Developing Players
di Mauro A.,42.0,28.0,1.0,13.0,83.0,12.0,0.0,1.0,1,Developing Players
van Gemerden M.,5.0,5.0,0.0,2.0,106.0,1.0,1.0,0.0,1,Developing Players
van Lottum J.,1.0,1.0,0.0,0.0,493.0,0.0,0.0,0.0,1,Developing Players
van Scheppingen D.,2.0,2.0,0.0,1.0,278.0,0.0,0.0,1.0,1,Developing Players
