Unnamed: 0,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard,cluster,cluster_description
Rieschick S.,3.0,3.0,0.0,1.0,253.0,0.0,0.0,1.0,1,Developing Players
Riffice S.,1.0,1.0,0.0,0.0,542.0,0.0,0.0,0.0,1,Developing Players
Rincon D.,3.0,2.0,0.0,0.0,216.0,0.0,0.0,0.0,1,Developing Players
Rinderknech A.,140.0,72.0,1.0,66.0,48.0,19.0,7.0,40.0,1,Developing Players
Rios F.,1.0,1.0,0.0,0.0,1285.0,0.0,0.0,0.0,1,Developing Players
Ritschard A.,10.0,7.0,0.0,3.0,163.0,2.0,0.0,1.0,1,Developing Players
Robert S.,108.0,58.0,1.0,35.0,52.0,12.0,4.0,19.0,1,Developing Players
Robredo R.,3.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0,1,Developing Players
Robredo T.,573.0,152.0,18.0,345.0,5.0,165.0,14.0,166.0,-1,Outlier
Robredo T. ,3.0,2.0,0.0,2.0,15.0,0.0,0.0,2.0,1,Developing Players
Roca Batalla O.,3.0,2.0,0.0,1.0,314.0,1.0,0.0,0.0,1,Developing Players
Rocha H.,4.0,3.0,0.0,1.0,182.0,1.0,0.0,0.0,1,Developing Players
Rochus C.,120.0,79.0,1.0,37.0,41.0,18.0,0.0,19.0,1,Developing Players
Rochus C. ,1.0,1.0,0.0,0.0,88.0,0.0,0.0,0.0,1,Developing Players
Rochus O.,255.0,91.0,6.0,113.0,24.0,20.0,21.0,72.0,1,Developing Players
Rochus O. ,1.0,1.0,0.0,0.0,61.0,0.0,0.0,0.0,1,Developing Players
Roddick A.,408.0,83.0,25.0,301.0,3.0,17.0,39.0,245.0,-1,Outlier
Rodionov J.,32.0,20.0,0.0,12.0,107.0,5.0,2.0,5.0,1,Developing Players
Rodrigues M.,2.0,2.0,0.0,1.0,275.0,0.0,0.0,1.0,1,Developing Players
Rodriguez B.,1.0,1.0,0.0,0.0,439.0,0.0,0.0,0.0,1,Developing Players
Rodriguez Taverna S.,1.0,1.0,0.0,0.0,201.0,0.0,0.0,0.0,1,Developing Players
Roger-Vasselin E.,193.0,69.0,2.0,74.0,36.0,15.0,16.0,43.0,1,Developing Players
Roitman S.,75.0,50.0,0.0,21.0,62.0,20.0,0.0,1.0,1,Developing Players
Rola B.,25.0,17.0,0.0,8.0,80.0,4.0,1.0,3.0,1,Developing Players
Romboli F.,1.0,1.0,0.0,0.0,244.0,0.0,0.0,0.0,1,Developing Players
Rosenholm P.,3.0,2.0,0.0,1.0,371.0,0.0,0.0,1.0,1,Developing Players
Roshardt R.,2.0,1.0,0.0,0.0,588.0,0.0,0.0,0.0,1,Developing Players
Rosol L.,254.0,94.0,4.0,106.0,26.0,44.0,8.0,54.0,1,Developing Players
Roumane R.,1.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0,1,Developing Players
Rubin N.,27.0,21.0,0.0,7.0,144.0,1.0,0.0,6.0,1,Developing Players
Rublev A.,476.0,101.0,26.0,304.0,5.0,77.0,19.0,208.0,4,Developing Players
Rufin G.,41.0,26.0,0.0,15.0,85.0,5.0,2.0,8.0,1,Developing Players
Rune H.,202.0,77.0,8.0,125.0,4.0,44.0,10.0,71.0,1,Developing Players
Rusedski G.,47.0,31.0,1.0,24.0,29.0,2.0,5.0,17.0,1,Developing Players
Russell M.,161.0,74.0,0.0,59.0,67.0,7.0,7.0,45.0,1,Developing Players
Ruud C.,345.0,95.0,23.0,221.0,2.0,137.0,5.0,79.0,1,Developing Players
Ruusuvuori E.,186.0,77.0,2.0,93.0,40.0,14.0,11.0,68.0,1,Developing Players
Rybakov A.,1.0,1.0,0.0,0.0,378.0,0.0,0.0,0.0,1,Developing Players
Ryderstedt M.,16.0,9.0,0.0,5.0,130.0,3.0,0.0,2.0,1,Developing Players
Sa A.,1.0,1.0,0.0,0.0,241.0,0.0,0.0,0.0,1,Developing Players
Saavedra Corvalan C.,1.0,1.0,0.0,0.0,395.0,0.0,0.0,0.0,1,Developing Players
Sabau R.,32.0,25.0,0.0,9.0,74.0,7.0,1.0,1.0,1,Developing Players
Sabry S.,1.0,1.0,0.0,0.0,586.0,0.0,0.0,0.0,1,Developing Players
Sachko V.,5.0,5.0,0.0,0.0,166.0,0.0,0.0,0.0,1,Developing Players
Sadecky A.,3.0,1.0,0.0,1.0,401.0,1.0,0.0,0.0,1,Developing Players
Safin M.,181.0,74.0,2.0,95.0,4.0,19.0,11.0,65.0,1,Developing Players
Safiullin R.,98.0,55.0,1.0,45.0,36.0,7.0,7.0,31.0,1,Developing Players
Safranek V.,2.0,2.0,0.0,0.0,210.0,0.0,0.0,0.0,1,Developing Players
Safwat M.,13.0,11.0,0.0,1.0,173.0,0.0,1.0,0.0,1,Developing Players
