,total_matches,total_tournaments,total_finals,total_wins,best_rank,career_span_days,avg_sets_per_match,top_10_wins,ranking_stability,wins_clay,wins_grass,wins_hard,wins_atp250,wins_atp500,wins_grand slam,wins_international,wins_international gold,wins_masters,wins_masters 1000,wins_masters cup,wins_month_1,wins_month_2,wins_month_3,wins_month_4,wins_month_5,wins_month_6,wins_month_7,wins_month_8,wins_month_9,wins_month_10,wins_month_11,wins_month_12,wins_1st_round,wins_2nd_round,wins_3rd_round,wins_4th_round,wins_quarterfinals,wins_round_robin,wins_semifinals,wins_the_final,win_rate,finals_rate
Dupuis A.,188.0,90.0,2.0,72.0,57.0,2731.0,2.4166666666666665,2.0,44.252866838873615,19.0,18.0,35.0,0.0,0.0,7.0,55.0,5.0,5.0,0.0,0.0,5.0,8.0,5.0,9.0,9.0,12.0,8.0,3.0,7.0,4.0,0.0,2.0,46.0,16.0,2.0,0.0,5.0,0.0,2.0,1.0,0.3829787234042553,0.010638297872340425
Durasovic V.,2.0,2.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durek R.,1.0,1.0,0.0,0.0,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dustov F.,6.0,5.0,0.0,0.0,142.0,0.0,0.0,0.0,25.45584412271571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dutra Da Silva D.,1.0,1.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dutra Da Silva R.,1.0,1.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dutra Silva R.,78.0,40.0,0.0,21.0,94.0,2283.0,2.857142857142857,0.0,160.14071327444512,15.0,0.0,6.0,15.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,5.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.0
Dzumhur D.,224.0,86.0,4.0,101.0,23.0,3384.0,2.6633663366336635,3.0,37.68279462919135,24.0,10.0,67.0,66.0,9.0,14.0,0.0,0.0,0.0,12.0,0.0,6.0,17.0,7.0,10.0,8.0,8.0,8.0,14.0,13.0,10.0,0.0,0.0,57.0,27.0,2.0,0.0,8.0,0.0,4.0,3.0,0.45089285714285715,0.017857142857142856
Eagle J.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eaton C.,2.0,1.0,0.0,1.0,661.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Ebden M.,192.0,89.0,1.0,70.0,43.0,4084.0,2.642857142857143,3.0,108.90150611169331,2.0,19.0,49.0,42.0,6.0,9.0,0.0,0.0,0.0,13.0,0.0,9.0,8.0,9.0,0.0,0.0,9.0,17.0,4.0,3.0,10.0,0.0,1.0,46.0,16.0,3.0,0.0,4.0,0.0,1.0,0.0,0.3645833333333333,0.005208333333333333
Ebelthite C.,1.0,1.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Echagaray B.,4.0,3.0,0.0,0.0,181.0,0.0,0.0,0.0,125.15790027001891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Economidis K.,12.0,11.0,0.0,1.0,123.0,0.0,4.0,0.0,11.256109452204168,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
